rbh_set_name,rbh_track_id,rbh_created_date,rbh_set_number,rbh_extract_timestamp
HISTORY 2023-04-08,114,2023-04-08,11,2025-12-11 14:19:05
HISTORY 2023-04-08,61,2023-04-08,11,2025-12-11 14:19:05
HISTORY 2023-04-08,382,2023-04-08,11,2025-12-11 14:19:05
HISTORY 2023-04-14,10,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,42,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,44,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,236,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,245,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,314,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,311,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,187,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,271,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,299,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,147,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,364,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,18,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,206,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,26,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,114,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,66,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,83,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-04-14,130,2023-04-14,12,2025-12-11 14:19:05
HISTORY 2023-05-14,34,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,204,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,67,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,364,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,137,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,205,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,305,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,303,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,248,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,249,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,184,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,218,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,156,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,155,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,79,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,134,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-05-14,32,2023-05-14,13,2025-12-11 14:19:05
HISTORY 2023-06-09,383,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,121,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,165,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,256,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,256,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,276,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,365,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,366,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,364,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,368,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,216,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,270,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-06-09,137,2023-06-09,14,2025-12-11 14:19:05
HISTORY 2023-07-05,37,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,25,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,58,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,184,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,69,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,82,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,121,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-05,132,2023-07-05,15,2025-12-11 14:19:05
HISTORY 2023-07-11,234,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,247,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,233,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,131,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,415,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,143,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,412,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,79,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,176,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-11,92,2023-07-11,16,2025-12-11 14:19:05
HISTORY 2023-07-13,59,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,248,2023-07-13,17,2025-12-11 14:19:05
