rb_track_id,rb_track_name,rb_artists,rb_album,rb_genre,rb_file_type,rb_file_size_bytes,rb_duration_sec,rb_year_release,rb_average_bpm,rb_date_added,rb_playcount,rb_file_name,rb_tonality,rb_label,rb_extract_timestamp
78,One Moment,Carloh,,"Deep Tech, Minimal",MP3,13836658,345,0,128.0,2021-10-10,7,Carloh - One Moment,11A,,2025-12-12 14:53:56
79,KTM (Extended Mix),Gordo,,Tech House,MP3,12893332,307,0,125.0,2021-10-10,7,Carnage - KTM (Extended Mix),11A,,2025-12-12 14:53:56
80,Light On (DJOKO & Rich Pinder Remix),Catsinka,,Tech House,MP3,15577171,375,0,124.0,2021-10-10,3,Catsinka - Light On (DJOKO & Rich Pinder Remix),7A,,2025-12-12 14:53:56
81,Wave feat. ZENSOFLY & Maxville (Club Mix),Catz 'n Dogz,,Tech House,MP3,14670204,356,0,126.0,2021-10-10,0,"Catz'n Dogz, ZENSOFLY, Maxville - Wave (Club Mix)",1A,,2025-12-12 14:53:56
82,2000 Freaks Come Out (Original Mix),"Cevin Fisher, Jack Back",,Tech House,MP3,16050436,400,2019,125.0,2021-10-10,1,"Cevin Fisher, Jack Back - 2000 Freaks Come Out (Original Mix)",9B,,2025-12-12 14:53:56
83,Voices Of The Ancient (Keith Carnal Remix),Charlotte de Witte,,Techno,MP3,17138498,427,0,127.0,2021-10-10,6,Charlotte de Witte - Voices Of The Ancient (Keith Carnal Remix),8A,,2025-12-12 14:53:56
84,Dirty Swing (Original Mix),Chinonegro,,"Deep Tech, Minimal",WAV,106336434,369,0,130.0,2021-10-10,1,Chinonegro - Dirty Swing (Original Mix),10A,,2025-12-12 14:53:56
85,Locos,"Chinonegro, Panter (Arg), Edgar",Fusion,Tech House,MP3,17820785,444,0,123.0,2021-10-10,2,"Chinonegro, Panter (Arg), Edgar - Locos",11A,,2025-12-12 14:53:56
86,I Remember,Chris Lake,,Tech House,MP3,13066348,321,0,126.0,2021-10-10,2,Chris Lake - I Remember (Extended Mix),6B,,2025-12-12 14:53:56
87,"Lies, Deception, And Fantasy","Chris Lake, Lee Foss",,Tech House,MP3,13260738,330,0,124.0,2021-10-10,0,"Chris Lake, Lee Foss - Lies, Deception, And Fantasy",4A,,2025-12-12 14:53:56
88,Free Your Body (Original Mix),"Chris Lake, Solardo",,Tech House,MP3,14509363,362,0,125.0,2021-10-10,4,"Chris Lake, Solardo - Free Your Body (Original Mix)",7A,,2025-12-12 14:53:56
89,The Outsiders (T78 Remix),Christian Cambas,The Outsiders,Techno,MP3,15362963,381,0,127.0,2021-10-10,3,Christian Cambas - The Outsiders (T78 Remix),6A,,2025-12-12 14:53:56
90,All I Want (Technasia Remix),Chus & Ceballos,,Tech House,MP3,16577350,413,0,125.0,2021-10-10,0,Chus & Ceballos - All I Want (Technasia Remix),4A,,2025-12-12 14:53:56
91,Now or Never (Original Mix),Chus & Ceballos,,Tech House,MP3,20137753,503,2017,125.0,2021-10-10,0,Chus & Ceballos Ft. Cari Golden - Now or Never (Original Mix),4A,,2025-12-12 14:53:56
92,Mamasitas,"Chus & Ceballos, Stefano Noferini",Miami 2015,Tech House,MP3,15663205,387,2015,124.0,2021-10-10,4,"Chus & Ceballos, Stefano Noferini - Mamasitas",5A,,2025-12-12 14:53:56
93,THE GLITCH (Original Mix),CIREZ D,,Techno,MP3,23017433,564,0,126.0,2021-10-10,3,CIREZ D - THE GLITCH (Original Mix),5B,,2025-12-12 14:53:56
94,No Eyes (feat. JAW),Claptone,Charmer,House,MP3,16755033,418,0,120.0,2021-10-10,0,"Claptone, JAW - No Eyes",4A,,2025-12-12 14:53:56
95,Stay The Night (Mihalis Safras Remix),"Claptone, Tender",,Tech House,MP3,14802445,366,2018,126.0,2021-10-10,0,"Claptone, Tender - Stay The Night (Mihalis Safras Remix)",10B,,2025-12-12 14:53:56
96,Comments (Original Mix),"Claude VonStroke, ZDS, KE",,Tech House,MP3,14777064,368,2019,126.0,2021-10-10,0,"Claude VonStroke, ZDS, KE - Comments (Original Mix)",4A,,2025-12-12 14:53:56
97,Sternentreiben (Patrice Bäumel Remix),Claudio Ricci,,Techno,MP3,17906642,447,0,125.0,2021-10-10,2,"Claudio Ricci, Patrice Baumel - Sternentreiben (Patrice Baumel Remix)",4A,,2025-12-12 14:53:56
98,Sun Goes Down (Extended Mix),Cloonee,,Tech House,MP3,15314611,367,2021,126.0,2021-10-10,0,Cloonee - Sun Goes Down (Extended Mix),1A,,2025-12-12 14:53:56
99,Gravity (Original Mix),Colyn,,Melodic Techno,MP3,18649601,465,0,126.0,2021-10-10,1,Colyn - Gravity (Original Mix),8A,,2025-12-12 14:53:56
100,Heat Cycle,Colyn,Binary Choices,Techno,MP3,17994413,447,0,127.0,2021-10-10,2,Colyn - Heat Cycle,8A,,2025-12-12 14:53:56
101,Slowly Burning (2019) (Original Mix),"Cristoph, Jem Cooke",,Progressive House,MP3,18094500,451,0,125.0,2021-10-10,0,"Cristoph, Jem Cooke - Slowly Burning (2019) (Original Mix)",9A,,2025-12-12 14:53:56
102,Aire Libre (Original Mix),Cuartero,Micromaya EP,"Deep Tech, Minimal",MP3,14881507,368,2019,126.0,2021-10-10,0,Cuartero - Aire Libre (Original Mix),3A,,2025-12-12 14:53:56
103,El Repicar,Cuartero,,Tech House,MP3,16184633,401,2014,126.0,2021-10-10,1,Cuartero - El Repicar,1A,,2025-12-12 14:53:56
104,Mama,Cuartero,Mama - EP,Tech House,MP3,16394530,409,0,123.0,2021-10-10,2,Cuartero - Mama,8A,,2025-12-12 14:53:56
105,Manipulated (Original Mix),Cuartero,Dioneli EP,Tech House,MP3,15386094,380,2015,122.0,2021-10-10,0,Cuartero - Manipulated (Original Mix),4B,,2025-12-12 14:53:56
